merchantID,hour,weekday,driverID,time_variance,row_count,trip_ids,times,date
1470,11,True,1956,,1,['d001f967d280b0d386d92d1f0dfcdd3eee607f255780c160ec51bdfbb38c697a'],[774.0],[28]
1470,11,True,2403,,1,['57d831dc57284334cc7eeaf5e77438a8d7caedbeb417dd95e420fc873e86f7e2'],[408.0],[28]
1470,12,False,162,,1,['67b98ae4114b221fb3edb0a96886c5eb7e2516d049474fc32d3b8fb82bd4e77f'],[1144.0],[25]
1470,12,False,846,,1,['efa9caf1168803bbfdad297b2f10ceb36c2f2e8bcde5ce0dc989db17171dbec1'],[1190.0],[24]
1470,12,False,884,,1,['25a0b1afa9f2c01069b8005effd20e00ef7c5e484866c40d4cca262fb2a13bd5'],[1167.0],[25]
1470,12,False,2806,,1,['4e8ba8c49013d6c5262c61bb005c4e81ed6bf02bfdf5b689ead6c292deead5bd'],[535.0],[24]
1470,12,False,3514,,1,['b060bea9f77610e4a62bcb213f9b1d7b26c0a4e4c558df0e05b0178a9cbf92de'],[969.0],[24]
1470,12,True,257,,1,['4af545624d29ab7a397979dca4a2091d98b5927284e37ae4da9ebdf23f1bc76b'],[633.0],[27]
1470,12,True,846,,1,['411d582cf44d74d936316bacf6c520aac82d81a55f5ce89daf4f4ee1727d5c95'],[1408.0],[30]
1470,12,True,900,,1,['a837b992094e45044652666dd8b9b5930fb80dc8ed775519ff76ca646b18039b'],[216.0],[28]
1470,12,True,1056,,1,['080634c0b6a158c6eaf44fbbd0c4bd5475c15a2239af647090f91842f7cc68ce'],[677.0],[28]
1470,12,True,1250,,1,['97ead3c586eb36207e8de57c9b1533e25f2a5b70d6b58bf6db8f32ae3c85c97a'],[1071.0],[29]
1470,12,True,2106,,1,['f0fb7675003d238ff6c84ca057c1cf6470feab032f5fbeb0457b68d80481f721'],[1204.0],[28]
1470,12,True,2184,,1,['fc50f523db99ec6df1a6cf67c5cc1eaccbc596221aa67e920ee3991311b3cf2b'],[998.0],[27]
1470,12,True,2857,,1,['a1a0251bb5f6ced2bc58dbccc2c8b42b9aedbc7d1cfc9615a288ac2a3bf74a18'],[993.0],[28]
1470,12,True,2954,,1,['487444147a2760385891eb81448374cb6069581e9b0b976c6a987ff89adb12d8'],[980.0],[28]
